NAZEV,OKRES,KRAJ
Abertamy,Karlovy Vary,Karlovarský kraj
Adamov,Kutná Hora,Středočeský kraj
Adamov,České Budějovice,Jihočeský kraj
Adamov,Blansko,Jihomoravský kraj
Adršpach,Náchod,Královéhradecký kraj
Albrechtice,Ústí nad Orlicí,Pardubický kraj
Albrechtice,Karviná,Moravskoslezský kraj
Albrechtice nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj
Albrechtice nad Vltavou,Písek,Jihočeský kraj
Albrechtice v Jizerských horách,Jablonec nad Nisou,Liberecký kraj
Albrechtičky,Nový Jičín,Moravskoslezský kraj
Alojzov,Prostějov,Olomoucký kraj
Andělská Hora,Bruntál,Moravskoslezský kraj
Andělská Hora,Karlovy Vary,Karlovarský kraj
Anenská Studánka,Ústí nad Orlicí,Pardubický kraj
Archlebov,Hodonín,Jihomoravský kraj
Arneštovice,Pelhřimov,Kraj Vysočina
Arnolec,Jihlava,Kraj Vysočina
Arnoltice,Děčín,Ústecký kraj
Aš,Cheb,Karlovarský kraj
Babice,Uherské Hradiště,Zlínský kraj
Babice,Praha-východ,Středočeský kraj
Babice,Hradec Králové,Královéhradecký kraj
Babice,Prachatice,Jihočeský kraj
Babice,Třebíč,Kraj Vysočina
Babice,Olomouc,Olomoucký kraj
Babice nad Svitavou,Brno-venkov,Jihomoravský kraj
Babice u Rosic,Brno-venkov,Jihomoravský kraj
Babylon,Domažlice,Plzeňský kraj
Bakov nad Jizerou,Mladá Boleslav,Středočeský kraj
Baliny,Žďár nad Sázavou,Kraj Vysočina
Balkova Lhota,Tábor,Jihočeský kraj
Bantice,Znojmo,Jihomoravský kraj
Banín,Svitavy,Pardubický kraj
Barchov,Hradec Králové,Královéhradecký kraj
Barchov,Pardubice,Pardubický kraj
Barchovice,Kolín,Středočeský kraj
Bartoušov,Havlíčkův Brod,Kraj Vysočina
Bartošovice,Nový Jičín,Moravskoslezský kraj
Bartošovice v Orlických horách,Rychnov nad Kněžnou,Královéhradecký kraj
Batelov,Jihlava,Kraj Vysočina
Batňovice,Trutnov,Královéhradecký kraj
Bavorov,Strakonice,Jihočeský kraj
Bavory,Břeclav,Jihomoravský kraj
Bavoryně,Beroun,Středočeský kraj
Baška,Frýdek-Místek,Moravskoslezský kraj
Bašnice,Jičín,Královéhradecký kraj
Bašť,Praha-východ,Středočeský kraj
Bačalky,Jičín,Královéhradecký kraj
Bačetín,Rychnov nad Kněžnou,Královéhradecký kraj
Bačice,Třebíč,Kraj Vysočina
Bačkov,Havlíčkův Brod,Kraj Vysočina
Bačkovice,Třebíč,Kraj Vysočina
Bařice-Velké Těšany,Kroměříž,Zlínský kraj
Bdeněves,Plzeň-sever,Plzeňský kraj
Bdín,Rakovník,Středočeský kraj
Bechlín,Litoměřice,Ústecký kraj
Bechyně,Tábor,Jihočeský kraj
Bedihošť,Prostějov,Olomoucký kraj
Bednárec,Jindřichův Hradec,Jihočeský kraj
Bednáreček,Jindřichův Hradec,Jihočeský kraj
Bedřichov,Blansko,Jihomoravský kraj
Bedřichov,Jablonec nad Nisou,Liberecký kraj
Benecko,Semily,Liberecký kraj
Benetice,Třebíč,Kraj Vysočina
Benešov,Blansko,Jihomoravský kraj
Benešov,Benešov,Středočeský kraj
Benešov nad Ploučnicí,Děčín,Ústecký kraj
Benešov nad Černou,Český Krumlov,Jihočeský kraj
Benešov u Semil,Semily,Liberecký kraj
Benešovice,Tachov,Plzeňský kraj
Benátky,Svitavy,Pardubický kraj
Benátky,Hradec Králové,Královéhradecký kraj
Benátky nad Jizerou,Mladá Boleslav,Středočeský kraj
Bernardov,Kutná Hora,Středočeský kraj
Bernartice,Trutnov,Královéhradecký kraj
Bernartice,Písek,Jihočeský kraj
Bernartice,Benešov,Středočeský kraj
Bernartice,Jeseník,Olomoucký kraj
Bernartice nad Odrou,Nový Jičín,Moravskoslezský kraj
Beroun,Beroun,Středočeský kraj
Besednice,Český Krumlov,Jihočeský kraj
Bezdružice,Tachov,Plzeňský kraj
Bezdědovice,Strakonice,Jihočeský kraj
Bezděkov,Pardubice,Pardubický kraj
Bezděkov,Havlíčkův Brod,Kraj Vysočina
Bezděkov,Klatovy,Plzeňský kraj
Bezděkov,Rokycany,Plzeňský kraj
Bezděkov nad Metují,Náchod,Královéhradecký kraj
Bezděkov pod Třemšínem,Příbram,Středočeský kraj
Bezděz,Česká Lípa,Liberecký kraj
Bezděčí u Trnávky,Svitavy,Pardubický kraj
Bezkov,Znojmo,Jihomoravský kraj
Bezměrov,Kroměříž,Zlínský kraj
Bezno,Mladá Boleslav,Středočeský kraj
Bezuchov,Přerov,Olomoucký kraj
Bezvěrov,Plzeň-sever,Plzeňský kraj
Bečice,Tábor,Jihočeský kraj
Bečice,České Budějovice,Jihočeský kraj
Bečov,Most,Ústecký kraj
Bečov nad Teplou,Karlovy Vary,Karlovarský kraj
Bečváry,Kolín,Středočeský kraj
Beňov,Přerov,Olomoucký kraj
Beřovice,Kladno,Středočeský kraj
Biskoupky,Brno-venkov,Jihomoravský kraj
Biskupice,Zlín,Zlínský kraj
Biskupice,Prostějov,Olomoucký kraj
Biskupice,Chrudim,Pardubický kraj
Biskupice,Svitavy,Pardubický kraj
Biskupice-Pulkov,Třebíč,Kraj Vysočina
Bitozeves,Louny,Ústecký kraj
Biřkov,Klatovy,Plzeňský kraj
Blanné,Znojmo,Jihomoravský kraj
Blansko,Blansko,Jihomoravský kraj
Blatce,Česká Lípa,Liberecký kraj
Blatec,Olomouc,Olomoucký kraj
Blatnice,Plzeň-sever,Plzeňský kraj
Blatnice,Třebíč,Kraj Vysočina
Blatnice pod Svatým Antonínkem,Hodonín,Jihomoravský kraj
Blatnička,Hodonín,Jihomoravský kraj
Blatno,Chomutov,Ústecký kraj
Blatno,Louny,Ústecký kraj
Blatná,Strakonice,Jihočeský kraj
Blazice,Kroměříž,Zlínský kraj
Blažejov,Jindřichův Hradec,Jihočeský kraj
Blažejovice,Benešov,Středočeský kraj
Blažim,Louny,Ústecký kraj
Blažim,Plzeň-sever,Plzeňský kraj
Blažkov,Žďár nad Sázavou,Kraj Vysočina
Blažovice,Brno-venkov,Jihomoravský kraj
Blevice,Kladno,Středočeský kraj
Blešno,Hradec Králové,Královéhradecký kraj
Blovice,Plzeň-jih,Plzeňský kraj
Bludov,Šumperk,Olomoucký kraj
Bludov,Kutná Hora,Středočeský kraj
Blučina,Brno-venkov,Jihomoravský kraj
Blšany,Louny,Ústecký kraj
Blšany u Loun,Louny,Ústecký kraj
Blízkov,Žďár nad Sázavou,Kraj Vysočina
Blížejov,Domažlice,Plzeňský kraj
Blíževedly,Česká Lípa,Liberecký kraj
Blížkovice,Znojmo,Jihomoravský kraj
Bobnice,Nymburk,Středočeský kraj
Bobrová,Žďár nad Sázavou,Kraj Vysočina
Bobrůvka,Žďár nad Sázavou,Kraj Vysočina
Bocanovice,Frýdek-Místek,Moravskoslezský kraj
Bochov,Karlovy Vary,Karlovarský kraj
Bochovice,Třebíč,Kraj Vysočina
Bochoř,Přerov,Olomoucký kraj
Boharyně,Hradec Králové,Královéhradecký kraj
Bohatice,Česká Lípa,Liberecký kraj
Bohaté Málkovice,Vyškov,Jihomoravský kraj
Bohdalec,Žďár nad Sázavou,Kraj Vysočina
Bohdalice-Pavlovice,Vyškov,Jihomoravský kraj
Bohdalov,Žďár nad Sázavou,Kraj Vysočina
Bohdalovice,Český Krumlov,Jihočeský kraj
Bohdalín,Pelhřimov,Kraj Vysočina
Bohdaneč,Kutná Hora,Středočeský kraj
Bohdašín,Rychnov nad Kněžnou,Královéhradecký kraj
Bohdíkov,Šumperk,Olomoucký kraj
Bohostice,Příbram,Středočeský kraj
Bohumilice,Prachatice,Jihočeský kraj
Bohumín,Karviná,Moravskoslezský kraj
Bohunice,Prachatice,Jihočeský kraj
Bohuslavice,Náchod,Královéhradecký kraj
Bohuslavice,Prostějov,Olomoucký kraj
Bohuslavice,Jihlava,Kraj Vysočina
Bohuslavice,Šumperk,Olomoucký kraj
Bohuslavice,Opava,Moravskoslezský kraj
Bohuslavice nad Vláří,Zlín,Zlínský kraj
Bohuslavice u Zlína,Zlín,Zlínský kraj
Bohuslávky,Přerov,Olomoucký kraj
Bohutice,Znojmo,Jihomoravský kraj
Bohutín,Šumperk,Olomoucký kraj
Bohutín,Příbram,Středočeský kraj
Bohušice,Třebíč,Kraj Vysočina
Bohušov,Bruntál,Moravskoslezský kraj
Bohušovice nad Ohří,Litoměřice,Ústecký kraj
Bohuňov,Svitavy,Pardubický kraj
Bohuňov,Žďár nad Sázavou,Kraj Vysočina
Bohuňovice,Svitavy,Pardubický kraj
Bohuňovice,Olomouc,Olomoucký kraj
Bohy,Plzeň-sever,Plzeňský kraj
