,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
0,"Škoda Fabia, 1.4 TDI  Elegance Combi",2007,65 000 Kč,270 723 km,"Nafta, 59 kW",Manuální,kombi,Středočeský
1,"Hyundai i20, 1.2 koup v ČR",2012,99 000 Kč,89 449 km,"Benzín, 57 kW",,hatchback,Středočeský
2,"Jeep Compass, 1,4 i 103kW nové CZ odpoč.DP",,319 000 Kč,52 084 km,"Benzín, 103 kW",Manuální,SUV,Jihočeský
3,"Škoda Superb, 2.0 TDi Style+",2015,433 000 Kč,173 708 km,"Nafta, 140 kW",Manuální,limuzína,Středočeský
4,"Peugeot 206, 1.4 55kW",2004,33 300 Kč,190 780 km,"Benzín, 55 kW",,hatchback,Karlovarský
5,"Renault Scenic, 1.5dCi 78kW navigace",2009,99 900 Kč,160 589 km,"Nafta, 78 kW",Manuální,MPV,Liberecký
6,"Opel Frontera, 2.2 DTI LIMITED, VŮZ PO RENOV",2002,119 000 Kč,227 000 km,"Nafta, 85 kW",Manuální,terénní,Praha
7,"Renault Megane, 1.6i,ČR.,1.MAJ.,SERVISKA",2007,59 000 Kč,213 000 km,"Benzín, 82 kW",Manuální,kombi,Praha
8,"Jeep Wrangler, 2.8CRD SAHARA UNLIMITED/ZÁRUK",2014,689 000 Kč,141 065 km,"Nafta, 147 kW",Manuální,pick up,Praha
9,"Fiat Punto, 1.2i 51kW,STK 12/2023",2011,114 900 Kč,83 758 km,"Benzín, 51 kW",Manuální,hatchback,Plzeňský
10,"Opel Insignia, 2,0d 118 kw",2009,125 000 Kč,215 000 km,"Nafta, 118 kW",Manuální,kombi,Plzeňský
11,"Dacia Ostatní, 77 kW",2010,169 000 Kč,83 000 km,"Benzín, 77 kW",Manuální,SUV,Plzeňský
12,"Škoda Fabia, II Kombi 1.4 16V",2011,134 900 Kč,93 078 km,"Benzín, 63 kW",Manuální,kombi,Moravskoslezský
13,"Škoda Felicia, 1.3 LXi 1MAJ. ČR. Top stav",1998,43 900 Kč,74 088 km,"Benzín, 50 kW",Manuální,hatchback,Moravskoslezský
14,"Škoda Octavia, II Kombi 1.9 TDi DSG",2009,154 900 Kč,226 521 km,"Nafta, 77 kW",Automatická,kombi,Moravskoslezský
15,"Renault Koleos, 2,0DCi 4X4  AUTOMAT   ČR",2012,198 000 Kč,149 911 km,"Nafta, 110 kW",Automatická,SUV,Praha
16,"Mercedes-Benz Třída C, 250 CDI AMG",2015,659 999 Kč,168 000 km,"Nafta, 150 kW",Automatická,sedan,Královéhradecký
17,"Škoda Fabia, 1.9 TDI",2002,59 999 Kč,345 000 km,"Nafta, 74 kW",Manuální,kombi,Královéhradecký
18,"Audi S3, QUATTRO 300ps 408n.m",2008,219 999 Kč,266 100 km,"Benzín, 195 kW",Manuální,hatchback,Královéhradecký
19,"Citroen C4, 1,6 HDI",2005,59 999 Kč,158 000 km,"Nafta, 66 kW",Manuální,hatchback,Královéhradecký
20,"Seat Alhambra, 1.9 TDI 81KW 7-MÍST NOVÁ STK",1998,44 999 Kč,204 000 km,"Nafta, 81 kW",Manuální,kombi,Královéhradecký
21,"Mercedes-Benz Třída A, 180 CDI Classic",2005,99 999 Kč,199 000 km,"Nafta, 80 kW",Manuální,MPV,Královéhradecký
