,Okres
0,Hlavní město Praha
1,Hlavní město Praha
2,Hlavní město Praha
3,Hlavní město Praha
4,Kladno
5,NA
6,NA
7,NA
8,NA
9,NA
10,Svitavy
11,Česká Lípa
12,NA
13,NA
14,Písek
15,NA
16,Karlovy Vary
17,Liberec
18,Hlavní město Praha
19,Hlavní město Praha
20,Hlavní město Praha
21,Plzeň-město
22,"Domažlice
 Jindřichův Hradec"
23,"Domažlice
 Jindřichův Hradec"
24,Frýdek-Místek
25,Frýdek-Místek
26,Frýdek-Místek
27,Hlavní město Praha
28,"Rychnov nad Kněžnou
          Strakonice"
29,"Rychnov nad Kněžnou
          Strakonice"
30,"Rychnov nad Kněžnou
          Strakonice"
31,"Rychnov nad Kněžnou
          Strakonice"
32,"Rychnov nad Kněžnou
          Strakonice"
33,"Rychnov nad Kněžnou
          Strakonice"
34,Most
35,NA
36,NA
37,NA
38,"Blansko
 Benešov"
39,"Blansko
 Benešov"
40,"Blansko
 Benešov"
41,"Blansko
 Benešov"
42,Hlavní město Praha
43,Hlavní město Praha
44,Hlavní město Praha
45,Třebíč
46,NA
47,NA
48,Vsetín
49,Hlavní město Praha
50,Hlavní město Praha
51,Hlavní město Praha
52,NA
53,České Budějovice
54,Tábor
55,Tábor
56,Tábor
57,Tábor
58,Hlavní město Praha
59,Hlavní město Praha
60,Hlavní město Praha
61,"Chrudim
  Kladno"
62,"Chrudim
  Kladno"
63,"Chrudim
  Kladno"
64,"Chrudim
  Kladno"
65,"Chrudim
  Kladno"
66,"České Budějovice
         Rokycany"
67,Brno-město
68,Brno-město
69,Most
70,Most
71,NA
72,NA
73,NA
74,NA
75,NA
76,Ústí nad Orlicí
77,Ústí nad Orlicí
78,Most
79,Most
80,Most
81,Most
82,Most
83,Most
84,Most
85,Most
86,Most
87,Most
88,Most
89,Most
90,Most
91,Most
92,Most
93,Most
94,Most
95,Most
96,Most
97,Frýdek-Místek
98,Frýdek-Místek
99,Tábor
100,NA
101,NA
102,Teplice
103,Teplice
104,Pelhřimov
105,Pelhřimov
106,Pelhřimov
107,Pelhřimov
108,Pelhřimov
109,Pelhřimov
110,Kutná Hora
111,Kutná Hora
112,Jičín
113,Jičín
114,Hlavní město Praha
115,Hlavní město Praha
116,Hlavní město Praha
117,Pelhřimov
118,Pelhřimov
119,Ústí nad Orlicí
120,Ústí nad Orlicí
121,NA
122,NA
123,NA
124,NA
125,Plzeň-město
126,Plzeň-město
127,Plzeň-město
128,NA
129,NA
130,Hradec Králové
131,Hradec Králové
132,Hradec Králové
133,Plzeň-město
134,Plzeň-město
135,NA
136,NA
137,Pardubice
138,Třebíč
139,NA
140,České Budějovice
141,Chomutov
142,Chomutov
143,Praha-východ
144,Hlavní město Praha
145,Hlavní město Praha
146,Hlavní město Praha
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
155,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
156,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
157,Trutnov
158,Trutnov
159,Náchod
160,Náchod
161,Most
162,NA
163,NA
164,NA
165,NA
166,NA
167,Ústí nad Orlicí
168,NA
169,NA
170,Most
171,Hlavní město Praha
172,Hlavní město Praha
173,Hlavní město Praha
174,Hlavní město Praha
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,Brno-město
184,Brno-město
185,Brno-město
186,Brno-město
187,Brno-město
188,Brno-město
189,Brno-město
190,Brno-město
191,Brno-město
192,Brno-město
193,Brno-město
194,Brno-město
195,Brno-město
196,Brno-město
197,NA
198,NA
199,"Blansko
 Benešov"
200,"Blansko
 Benešov"
201,Nový Jičín
202,Nový Jičín
203,NA
204,Jičín
205,NA
206,Znojmo
207,Chomutov
208,Chomutov
209,Chomutov
210,Chomutov
211,Chomutov
212,Chomutov
213,Chomutov
214,Chomutov
215,Chomutov
216,Chomutov
217,"Brno-venkov
 Praha-východ"
218,Pardubice
219,Pardubice
220,Cheb
221,Hlavní město Praha
222,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
223,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
224,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
225,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
226,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
227,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
228,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
229,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
230,NA
231,NA
232,Hlavní město Praha
233,Hlavní město Praha
234,Hlavní město Praha
235,Hlavní město Praha
236,Hlavní město Praha
237,Hlavní město Praha
238,Hlavní město Praha
239,Hlavní město Praha
240,Hlavní město Praha
241,"České Budějovice
      Brno-venkov"
242,"České Budějovice
      Brno-venkov"
243,"České Budějovice
      Brno-venkov"
244,Brno-město
245,Brno-město
246,Brno-město
247,NA
248,NA
249,Náchod
250,Náchod
251,Strakonice
252,Strakonice
253,NA
254,Hlavní město Praha
255,České Budějovice
256,NA
257,NA
258,Svitavy
259,Ústí nad Orlicí
260,NA
261,NA
262,Frýdek-Místek
263,NA
264,NA
265,NA
266,NA
267,Plzeň-město
268,Hlavní město Praha
269,Prostějov
270,Prostějov
271,Prostějov
272,Hlavní město Praha
273,Hlavní město Praha
274,Brno-město
275,NA
276,České Budějovice
277,Plzeň-město
278,Plzeň-město
279,NA
280,NA
281,Mladá Boleslav
282,Mladá Boleslav
283,Žďár nad Sázavou
284,Žďár nad Sázavou
285,Louny
286,Zlín
287,České Budějovice
288,Frýdek-Místek
289,Frýdek-Místek
290,Frýdek-Místek
291,Frýdek-Místek
292,Hlavní město Praha
293,Hlavní město Praha
294,Hlavní město Praha
295,Hlavní město Praha
296,Hlavní město Praha
297,Hlavní město Praha
298,"Rychnov nad Kněžnou
          Strakonice"
299,"Rychnov nad Kněžnou
          Strakonice"
300,"Rychnov nad Kněžnou
          Strakonice"
301,Náchod
302,Náchod
303,Plzeň-město
304,Žďár nad Sázavou
305,Žďár nad Sázavou
306,Žďár nad Sázavou
307,Žďár nad Sázavou
308,"Blansko
 Benešov"
309,Hlavní město Praha
310,Hlavní město Praha
311,Hlavní město Praha
312,Třebíč
313,Třebíč
314,Třebíč
315,Třebíč
316,Třebíč
317,Třebíč
318,Třebíč
319,Třebíč
320,Rychnov nad Kněžnou
321,Cheb
322,Cheb
323,Cheb
324,Cheb
325,Cheb
326,Cheb
327,Kutná Hora
328,Kutná Hora
329,Kutná Hora
330,Kutná Hora
331,Kutná Hora
332,Kutná Hora
333,Kutná Hora
334,Kutná Hora
335,Kutná Hora
336,Kutná Hora
337,Kutná Hora
338,Kutná Hora
339,Chrudim
340,Chrudim
341,Chrudim
342,NA
343,NA
344,NA
345,NA
346,Ostrava-město
347,Plzeň-město
348,Plzeň-město
349,České Budějovice
350,NA
351,Hlavní město Praha
352,Hlavní město Praha
353,České Budějovice
354,Tábor
355,Tábor
356,Tábor
357,Tábor
358,Tábor
359,Tábor
360,Hradec Králové
361,Hlavní město Praha
362,Brno-město
363,Mělník
364,NA
365,Most
366,"Plzeň-jih
 Pelhřimov"
367,Kladno
368,Hlavní město Praha
369,Hlavní město Praha
370,NA
371,Pelhřimov
372,Jičín
373,Hlavní město Praha
374,Ústí nad Orlicí
375,NA
376,Plzeň-město
377,NA
378,Svitavy
379,Svitavy
380,Svitavy
381,Svitavy
382,NA
383,NA
384,"Chrudim
 Hodonín
 Blansko"
385,Znojmo
386,"Chrudim
 Hodonín
 Blansko"
387,Chrudim
388,NA
389,NA
390,NA
391,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
392,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
393,Most
394,NA
395,NA
396,NA
397,NA
398,NA
399,Most
400,Most
401,Most
402,Ostrava-město
403,Hlavní město Praha
404,Hlavní město Praha
405,Hlavní město Praha
406,NA
407,NA
408,NA
409,NA
410,Brno-město
411,NA
412,Nový Jičín
413,Třebíč
414,Litoměřice
415,Jičín
416,NA
417,NA
418,NA
419,NA
420,Chomutov
421,Pardubice
422,Hlavní město Praha
423,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
424,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
425,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
426,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
427,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
428,Sokolov
429,"Blansko
 Benešov"
430,Hlavní město Praha
431,Hlavní město Praha
432,Hlavní město Praha
433,Kladno
434,Brno-město
435,Brno-město
436,Brno-město
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,Hlavní město Praha
445,Hlavní město Praha
